univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
UPJŠ,29377578.0,8341987,0.0,2471553,,336,,7837.0,5677.0,,,1826.0,1718.0,132160.0,2016,,,,7.733496018,8.646408388
PU,21135921.0,7022726,0.0,3781275,,158,,9412.0,6759.0,,,1934.0,1964.0,157120.0,2016,,,,5.363718339,4.35700014
UCM,11162466.0,4334052,0.0,1161794,,93,,6165.0,4336.0,,,224.0,201.0,6432.0,2016,,,,2.620609531,2.460805462
UVL,12244578.0,4935390,0.0,877891,,97,,2239.0,1977.0,,,902.0,760.0,60800.0,2016,,,,2.071509763,1.974464673
UKF,21512826.0,7615253,0.0,2502876,,196,,9958.0,6894.0,,,1686.0,1677.0,134160.0,2016,,,,5.172029656,4.265257039
UMB,20546007.0,6502192,0.0,2995466,,201,,9988.0,6793.0,,,2434.0,2281.0,160816.0,2016,,,,4.697344958,3.958908696
TVU,11162890.0,3799201,0.0,948751,,75,,5499.0,3575.0,,,300.0,300.0,9600.0,2016,,,,3.097481716,2.368491549
STU,59878811.0,17720601,0.0,6751201,,719,,15411.0,12940.0,,,6530.0,6528.0,519264.0,2016,,,,12.38810396,14.27314801
TUKE,40491181.0,12752121,0.0,4897215,,393,,10633.0,8622.0,,,4986.0,4126.0,330080.0,2016,,,,10.90438008,11.57262162
ŽU,32332491.0,9546045,0.0,4526041,,278,,10162.0,8366.0,,,5002.0,4247.0,305616.0,2016,,,,4.815145188,5.095294923
TUAD,5989702.0,2084582,0.0,528429,,39,,2958.0,1951.0,,,215.0,142.0,11360.0,2016,,,,1.315732974,1.359740623
EU,18961793.0,6816132,0.0,2495740,,162,,9336.0,7226.0,,,2558.0,2672.0,192032.0,2016,,,,4.250895047,3.757983234
SPU,22448022.0,7583985,0.0,2501905,,161,,8704.0,6468.0,,,2736.0,2608.0,195488.0,2016,,,,4.271514138,4.050937203
TUZVO,12228681.0,3843880,0.0,1443465,,84,,3863.0,2763.0,,,1486.0,1355.0,108400.0,2016,,,,3.20483062,2.980479643
VŠMU,5372616.0,2269399,0.0,195731,,46,,1032.0,895.0,,,,0.0,0.0,2016,,,,0.141214444,0.071498995
VŠVU,4243782.0,1569150,0.0,100109,,30,,635.0,534.0,,,,0.0,0.0,2016,,,,0.213847117,0.05157966
