univerzita;fakulta;typ;rok;spolu full-time;spolu part-time;ženy full-time;ženy part-time
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2010;14;3;7;0
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2010;34;1;11;1
EKONOMICKÁ UNIVERZITA;Fa aplikov. jazykov EU;verejná;2010;70;5;56;4
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2010;58;6;31;0
SLOV. POĽNOHOSP. UNIV.;Fa ekonom. a manažm.SPU;verejná;2010;107;6;71;2
SLOV. POĽNOHOSP. UNIV.;Fa agrobiol.,potr.zdr.;verejná;2010;115;4;35;1
SLOV. POĽNOHOSP. UNIV.;Technická fakulta SPU;verejná;2010;71;2;10;0
SLOV. POĽNOHOSP. UNIV.;Fa záhrad. a kraj. inž.;verejná;2010;60;3;22;1
SLOV. POĽNOHOSP. UNIV.;F eur.štúdií a reg.rozv;verejná;2010;38;4;23;1
TECH. UNIVERZITA ZVOLEN;Fa envir. a výr.tech.TU;verejná;2010;36;2;8;0
TECH. UNIVERZITA ZVOLEN;Lesnícka fakulta  TU;verejná;2010;69;3;11;1
TECH. UNIVERZITA ZVOLEN;Drevárska fakulta  TU;verejná;2010;103;2;41;0
TECH. UNIVERZITA ZVOLEN;Fa ekológie a envir.TU;verejná;2010;39;5;14;2
TECH. UNIVERZITA ZVOLEN;TU Z - rektorát;verejná;2010;19;0;15;0
VŠ MÚZICKÝCH UMENÍ;Film. a telev. fak.VŠMU;verejná;2010;30;46;6;15
VŠ MÚZICKÝCH UMENÍ;Divadelná fakulta VŠMU;verejná;2010;38;15;19;8
VŠ MÚZICKÝCH UMENÍ;Hud.a tanečná fak. VŠMU;verejná;2010;64;32;20;22
VŠ MÚZICKÝCH UMENÍ;VŠMU - rektorát;verejná;2010;7;0;7;0
VŠ VÝTVARNÝCH UMENÍ;Fa výtvar. umení VŠVU;verejná;2010;99;8;30;2
AKADÉMIA UMENÍ;Fa dramat. umení AU;verejná;2010;28;13;7;4
AKADÉMIA UMENÍ;Fa múzických umení AU;verejná;2010;38;5;18;2
AKADÉMIA UMENÍ;Fa výtvarných umení AU;verejná;2010;29;3;5;1
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2010;0;1;0;1
BRATISLAVSKÁ MEDZ.ŠKOLA;Fa liberálnych štúdií;súkromná;2010;4;12;1;1
VŠ V SLÁDKOVIČOVE;VŠS - rektorát;súkromná;2010;8;2;5;2
VŠ V SLÁDKOVIČOVE;Fa verejnej politiky;súkromná;2010;14;17;5;5
VŠ V SLÁDKOVIČOVE;Fa práva J.Jesenského;súkromná;2010;40;24;15;8
VŠ V SLÁDKOVIČOVE;Fa sociálnych štúdií;súkromná;2010;16;50;5;27
PANEURÓPSKA VŠ;Fa informatiky PEVŠ;súkromná;2010;8;1;0;0
PANEURÓPSKA VŠ;Fa ekon. a podnikania;súkromná;2010;25;1;9;0
PANEURÓPSKA VŠ;Fa práva PEVŠ;súkromná;2010;50;5;15;0
PANEURÓPSKA VŠ;Fa masmédií PEVŠ;súkromná;2010;24;0;8;0
VŠZaSP sv.ALŽBETY;VŠZaSP - rektorát;súkromná;2010;432;0;225;0
DUBNICKÝ TECHN.INŚTITÚT;Elektrotechnická fak.;súkromná;2010;57;71;19;30
VŠ EKON. a MANAŽMENTU;F ek.a manaž.ver.správy;súkromná;2010;100;1;53;1
VŠ MANAŽMENTU;Fa manažmentu VŠM;súkromná;2010;50;24;25;7
